timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,259.02,50,100,19.30,5000,2499,29,0.00
10000,259.10,100,150,19.30,10000,4999,30,0.25
15000,258.80,151,201,19.32,15000,7499,35,0.00
20000,260.38,203,253,19.20,20000,9999,42,0.05
25000,258.97,258,308,19.31,25000,12499,60,0.65
30000,257.34,331,381,19.43,30000,14999,126,0.80
35000,258.84,408,458,19.32,35000,17499,200,1.00
40000,258.51,489,500,19.34,40000,19999,281,0.20
45000,261.07,569,500,19.15,45000,22499,357,0.25
50000,259.25,651,500,19.29,50000,24999,433,0.00
55000,261.31,740,500,19.13,55000,27499,520,0.00
60000,261.26,832,500,19.14,60000,29999,604,0.00
65000,260.69,924,500,19.18,65000,32499,687,0.00
70000,258.72,1023,500,19.33,70000,34999,782,0.05
75000,255.11,1123,500,19.60,75000,37499,879,0.00
80000,253.08,1224,500,19.76,80000,39999,979,0.00
85000,252.37,1329,500,19.81,85000,42499,1082,0.00
90000,255.62,1432,500,19.56,90000,44999,1181,0.00
95000,252.97,1536,500,19.77,95000,47499,1282,0.00
100000,253.88,1640,500,19.69,100000,49999,1383,0.00
